rcl_codigo,rcl_nivel,rcl_subnivel,articulo,cantidad
RCL121-C001,4,1,6020424,525
RCL121-C001,4,1,6032811,72
RCL121-C001,5,1,5120428,276
RCL122-C001,1,1,6036804,8
RCL122-C001,2,1,6020454,96
RCL122-C001,2,1,6036809,56
RCL122-C001,3,1,6020432,7
RCL122-C001,3,1,6032640,91
RCL122-C001,4,1,6036808,20
RCL122-C001,4,1,6032652,23
RCL122-C001,5,1,6020412,909
RCL122-C001,5,1,6020001,141
RCL123-C001,1,1,6010018,202
RCL123-C001,2,1,0590019,5
RCL123-C001,2,1,7060255,648
RCL123-C001,2,1,7550931,155
RCL123-C001,3,1,6010023,71
RCL123-C001,3,1,6010026,80
RCL123-C001,4,1,6020456,63
RCL123-C001,4,1,6010019,5
RCL119-C003,5,1,5120417,1
RCL123-C001,5,1,6020402,4
RCL123-C001,5,1,6020410,81
RCL123-C001,5,1,6020458,13
RCL123-C001,5,1,6020426,144
RCL123-C001,6,1,6032673,122
RCL124-C001,1,1,6020418,438
RCL124-C001,1,1,6032642,38
RCL124-C001,4,1,6036806,11
RCL124-C001,4,1,6020462,376
RCL124-C001,5,1,6032600,134
RCL124-C002,1,1,6032636,69
RCL124-C002,2,1,6032626,13
RCL124-C002,3,1,6020436,378
RCL124-C002,3,1,6020452,28
RCL124-C002,4,1,6036807,29
RCL124-C002,4,1,6036805,49
RCL124-C002,5,1,6032614,50
RCL120-C001,1,1,5120411,18
RCL124-C003,1,1,7550641,3
RCL124-C003,1,1,6020420,35
RCL120-C001,2,1,5120457,34
RCL124-C003,1,1,6020430,31
RCL124-C003,2,1,7550607,993
RCL124-C003,3,1,6032008,6
RCL124-C003,3,1,6032660,5
RCL124-C003,4,1,6020416,180
RCL124-C003,4,1,6032005,9
RCL124-C003,5,1,6020414,2906
RCL124-C004,1,1,6036800,19
RCL120-C002,1,1,5120458,15
RCL124-C004,2,1,6032007,27
RCL124-C004,3,1,6032650,25
RCL124-C004,4,1,6032602,39
RCL124-C004,5,1,5120420,242
RCL124-C004,5,1,6032616,99
RCL125-C001,1,1,7550651,19
RCL125-C001,1,1,7550694,9
RCL125-C001,1,1,7550656,15
